context,age_mean,age_median,age_p90,age_p99,frac_recent,frac_middle,frac_old
16384,7977.563301282052,7652.0952380952385,14959.904761904761,16310.190476190477,0.05512868208180708,0.4844735704110704,0.4603977475071226
40960,20795.48259209344,20501.47619047619,37792.76190476191,40872.666666666664,0.06483392295597483,0.4457871813230008,0.4893788957210243
4096,2102.1666579473585,2228.0,3761.4285714285716,4023.285714285714,0.019164312453497024,0.4096461704799107,0.5711895170665923
65536,31902.563113258,34098.52380952381,59837.80952380953,65462.90476190476,0.097137451171875,0.3688078380766369,0.5340547107514881
8192,3756.4183611188614,3589.9523809523807,7182.285714285715,7536.238095238095,0.0357666015625,0.5251348586309523,0.4390985398065476
