run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,adjacent_overlap,adjacent_jaccard,weighted_overlap,lift_vs_random,recency_baseline_overlap,retention_lag1,retention_lag8,retention_lag64,retention_lag512,retention_lag1024,retention_lag2048,working_set_w64_ratio,adjacent_overlap_std,adjacent_overlap_ci_lo,adjacent_overlap_ci_hi,adjacent_overlap_n,adjacent_jaccard_std,adjacent_jaccard_ci_lo,adjacent_jaccard_ci_hi,adjacent_jaccard_n,weighted_overlap_std,weighted_overlap_ci_lo,weighted_overlap_ci_hi,weighted_overlap_n,lift_vs_random_std,lift_vs_random_ci_lo,lift_vs_random_ci_hi,lift_vs_random_n,recency_baseline_overlap_std,recency_baseline_overlap_ci_lo,recency_baseline_overlap_ci_hi,recency_baseline_overlap_n,retention_lag1_std,retention_lag1_ci_lo,retention_lag1_ci_hi,retention_lag1_n,retention_lag8_std,retention_lag8_ci_lo,retention_lag8_ci_hi,retention_lag8_n,retention_lag64_std,retention_lag64_ci_lo,retention_lag64_ci_hi,retention_lag64_n,retention_lag512_std,retention_lag512_ci_lo,retention_lag512_ci_hi,retention_lag512_n,retention_lag1024_std,retention_lag1024_ci_lo,retention_lag1024_ci_hi,retention_lag1024_n,retention_lag2048_std,retention_lag2048_ci_lo,retention_lag2048_ci_hi,retention_lag2048_n,working_set_w64_ratio_std,working_set_w64_ratio_ci_lo,working_set_w64_ratio_ci_hi,working_set_w64_ratio_n,cpu_v4_adjacent_overlap,cpu_v4_lift
glm5_ib_longbook_qa_eng_32768_ld01,GLM-5,all_layers,32768,ld,infinitebench,longbook_qa_eng,29662,2048,0.7804029192188694,0.6575625999949958,0.7613604567214082,11.691085441186614,0.4958603993440286,0.7804029192188694,0.6796232581198546,0.6147840387866554,0.4685066989344409,0.34582153344765687,nan,0.05721573966244856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,longbook_qa_eng,30529,40,0.7179622664401365,0.5758665838744873,0.7054981931653632,10.709450692506628,0.2595915853099934,0.7179622664401365,0.6143618456270068,nan,nan,nan,nan,0.043329001695681844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_65536_ld00,GLM-5,all_layers,65536,ld,infinitebench,longbook_qa_eng,63248,2048,0.6975004066804772,0.5649146526909307,0.6753250970956808,21.888353545226884,0.4502562528133181,0.6975004066804772,0.6093774351638592,0.530638702356608,0.3984935188961801,0.3203669281669907,nan,0.08262667800180423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_65536_ld01,GLM-5,all_layers,65536,ld,infinitebench,longbook_qa_eng,62129,2048,0.7763276754590269,0.6504987593838939,0.7551875762010404,23.945919580597486,0.4840081696068987,0.7763276754590269,0.6508669290062004,0.5794374445528631,0.43680503633287215,0.3260932946816469,nan,0.06702505797147751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,longbook_qa_eng,63644,40,0.7129494144207396,0.5715126170383531,0.698523758239664,22.162701701072024,0.235473508733843,0.7129494144207396,0.5812435272726509,nan,nan,nan,nan,0.047858277345315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_8192_ld00,GLM-5,all_layers,8192,ld,infinitebench,longbook_qa_eng,5633,2048,0.8748356921636417,0.7832978863024123,0.8621700003291927,2.8450188973638273,0.6063847572375567,0.8748356921636417,0.7920748473292563,0.7252652473544364,0.5780846359383347,0.44338415830563277,nan,0.03266888087949692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_8192_ld01,GLM-5,all_layers,8192,ld,infinitebench,longbook_qa_eng,5494,2048,0.8594736495344187,0.7618694981454737,0.8466169885487442,2.733554558152015,0.5916493428059113,0.8594736495344187,0.7761689475219175,0.7001912706247334,0.5549703500209711,0.43289587436578214,nan,0.03393184455732504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_qa_eng_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,longbook_qa_eng,5677,39,0.8474200167636639,0.7413804929697688,0.8386881441780577,2.3570765434649954,0.4964682273689185,0.8474200167636639,0.751753410295182,nan,nan,nan,nan,0.027205362514317783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld00,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,130002,2048,0.7834756889760542,0.6595514236096881,0.7647508244468043,50.129300814057466,0.4836389686482802,0.7834756889760542,0.6711639517989951,0.5834183689581478,0.409114729812449,0.2841570184446514,nan,0.06711999494104813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld01,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,128965,2048,0.776889548049768,0.6495544929317236,0.7567816272567761,49.320472789144205,0.4624641142836246,0.776889548049768,0.6578501049012323,0.5552012841216909,0.40986418882573283,0.3004219232617043,nan,0.07151111215353012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld02,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,127634,2048,0.7701750894496189,0.6411880357591311,0.7475848057581361,48.38778829898543,0.4609094508477548,0.7701750894496189,0.6588924947911424,0.5599902068820879,0.40499797151073336,0.2919663114047751,nan,0.07258799151541331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld03,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,75999,2048,0.79230013450381,0.6695849102439632,0.7722873802332183,29.807041451011028,0.45671488627866424,0.79230013450381,0.6742836010314162,0.5763127416509565,0.4153876652395807,0.30509571893877285,nan,0.06314358143852307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld04,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,129217,2048,0.7313922622841497,0.5946787495583715,0.7104391414045843,46.51221202448581,0.43936446244807514,0.7313922622841497,0.6287718178043037,0.5406798482966221,0.3881661944799291,0.27957501562768217,nan,0.07858871315152217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld05,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,69162,2048,0.7885871791544538,0.6650741583945794,0.7700970103010909,27.03301175459873,0.45047345528235805,0.7885871791544538,0.6570239497166055,0.5489006105585468,0.4101234786530845,0.3050846503331111,nan,0.06768934891965145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld00,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63793,2048,0.780585982517586,0.6563410095910639,0.7600735897817522,24.706839921861498,0.48135535969883453,0.780585982517586,0.6749539462591879,0.587576906529481,0.41617331551030334,0.29999867773254174,nan,0.06150379036672604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld01,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63232,2048,0.7873061928125652,0.6622134785112076,0.7675826461784343,24.70770406357886,0.4620344886419153,0.7873061928125652,0.6716110747714148,0.5647367463111669,0.41631718771688864,0.3128431781814166,nan,0.06372235925533833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld02,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,62639,2048,0.7979722394966751,0.6761545154659601,0.7781550898293197,24.81216202533313,0.4681221584387963,0.7979722394966751,0.6851925622547993,0.5818387619515192,0.4341202350715985,0.33097660435823084,nan,0.06133660526038744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld03,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63492,2048,0.7932643866728045,0.6704213766635724,0.7736754229274495,24.99854273636336,0.46242248706328565,0.7932643866728045,0.6738744307067779,0.5715557379205923,0.42010119430020326,0.31966707033988756,nan,0.06258321945101787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld04,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63350,2048,0.7821480323471166,0.6557764916077132,0.7633415550655597,24.592660215572963,0.4523106630686105,0.7821480323471166,0.6657007301913281,0.5603701276340239,0.41170660463925995,0.31534905960432597,nan,0.06466894763975571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld05,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63568,2048,0.7805468806141518,0.6556368289148258,0.7624216403277019,24.625333912593312,0.4423075738359388,0.7805468806141518,0.6540151061792331,0.544743778770435,0.38613530489891423,0.3025807190040918,nan,0.0677391909635984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,number_string,125352,8,0.7389698517628204,0.5958255425618066,0.7340300631533945,45.23159889685802,0.14263603014823717,0.7389698517628204,nan,nan,nan,nan,nan,0.025962022634652946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,number_string,13810,7,0.835357405181624,0.7237947535650148,0.8364923570954438,5.634377178982792,0.2476006252861722,0.835357405181624,nan,nan,nan,nan,nan,0.02101709554483602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,number_string,30196,8,0.7813016302274115,0.6490518912896052,0.7780798857685102,11.521151381709199,0.18299231896033655,0.7813016302274115,nan,nan,nan,nan,nan,0.023534346849490434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,number_string,62964,8,0.7415767012934982,0.5996990020057846,0.7366802181446078,22.800591833862192,0.15671167618189102,0.7415767012934982,nan,nan,nan,nan,nan,0.025016650175436948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,number_string,5618,7,0.8793809678819446,0.7894194818516974,0.8821046730076537,2.4137859904867978,0.37061172876602566,0.8793809678819446,nan,nan,nan,nan,nan,0.019357953752790185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,passkey,125345,5,0.7173117613181089,0.5711706987343949,0.7121532642930251,43.90294429812676,0.13537660256410255,0.7173117613181089,nan,nan,nan,nan,nan,0.02249391995943509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,passkey,13811,5,0.8337073692908654,0.7230165976694329,0.8307251274754724,5.623247038859588,0.28287510016025647,0.8337073692908654,nan,nan,nan,nan,nan,0.01957006209935897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,passkey,30195,5,0.7888402694310898,0.6604854009392067,0.7870726651011454,11.63134409372623,0.1844025440705128,0.7888402694310898,nan,nan,nan,nan,nan,0.020693519787910654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,passkey,62963,5,0.7626921824919872,0.626988339217966,0.7551933425180661,23.448873113363216,0.15821314102564105,0.7626921824919872,nan,nan,nan,nan,nan,0.021390533447265624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,passkey,5617,4,0.8736895699786322,0.7816766289945074,0.8761745243889001,2.397096345567296,0.3568866436298077,0.8736895699786322,nan,nan,nan,nan,nan,0.017899195353190105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld00,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10400,2048,0.796760827338397,0.6782921238779986,0.7807109046479243,4.44064285663234,0.5269450774559608,0.796760827338397,0.7076137659716331,0.6445237531259693,0.49217444607335276,0.39457167723239994,nan,0.043865205242465705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld02,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10699,2048,0.8063463522583862,0.6892395427844499,0.7907001247811258,4.612282535932844,0.5356078147888184,0.8063463522583862,0.7309582801845698,0.6468777747268614,0.4982905754676232,0.38362298867641353,nan,0.042531584365627706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld03,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,9994,2048,0.7774022400178341,0.6538680799844093,0.7629990294773226,4.17471546404971,0.509825559762808,0.7774022400178341,0.6988447416601858,0.6484836676181892,0.4827941095727122,0.3900845662141458,nan,0.04531547446281482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld04,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10764,2048,0.8352719902650296,0.7259749008555213,0.8233853046585702,4.810048092914231,0.4908023400184436,0.8352719902650296,0.7296423204823795,0.6217937390601171,0.4762146819351066,0.38204155212793595,nan,0.04364191138973603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s00,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,11433,512,0.7980061273183865,0.676952681853516,0.7900572917882239,4.555613650578885,0.36604851942795974,0.7980061273183865,0.67718831280843,0.5683880061893671,nan,nan,nan,0.047355578686946474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s01,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,8522,512,0.8137504596395327,0.6983168921231051,0.8046130451601535,3.4883926917057986,0.38389161916879505,0.8137504596395327,0.6986042499348164,0.5935292086758457,nan,nan,nan,0.041588300122664526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s02,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,12358,512,0.7932806850059901,0.6708214506187516,0.7830325559653785,4.886628514238461,0.3368113835652669,0.7932806850059901,0.6663493062113668,0.545615730704842,nan,nan,nan,0.049419763760688976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_32768_ld02,GLM-5,all_layers,32768,ld,longbench_v1,gov_report,22422,2048,0.8074125244259891,0.6894856383955053,0.791909393184924,9.24610983032717,0.4859962463378906,0.8074125244259891,0.7018775751987494,0.6020322662429242,0.43114083444970286,0.3593767789693979,nan,0.052793571582207315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
