run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,moe_adjacent_overlap,moe_lift,moe_adjacent_overlap_std,moe_adjacent_overlap_ci_lo,moe_adjacent_overlap_ci_hi,moe_adjacent_overlap_n,moe_lift_std,moe_lift_ci_lo,moe_lift_ci_hi,moe_lift_n
glm5_ib_number_string_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,number_string,62964,8,0.31071428571428567,9.942857142857141,,,,,,,,
glm5_ib_number_string_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,number_string,5618,7,0.3008333333333333,9.626666666666665,,,,,,,,
glm5_ib_passkey_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,passkey,125345,5,0.34,10.88,,,,,,,,
glm5_ib_passkey_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,passkey,13811,5,0.33208333333333334,10.626666666666667,,,,,,,,
glm5_ib_passkey_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,passkey,30195,5,0.33708333333333335,10.786666666666667,,,,,,,,
glm5_ib_passkey_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,passkey,62963,5,0.3329166666666667,10.653333333333334,,,,,,,,
glm5_ib_passkey_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,passkey,5617,4,0.2838888888888889,9.084444444444445,,,,,,,,
glm5_lb1_gov_report_16384_ld00,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10400,2048,0.24591760299625462,7.869363295880148,,,,,,,,
glm5_lb1_gov_report_16384_ld02,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10699,2048,0.24492835043152578,7.837707213808825,,,,,,,,
glm5_lb1_gov_report_16384_ld03,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,9994,2048,0.2167570428269012,6.936225370460838,,,,,,,,
glm5_lb1_gov_report_16384_ld04,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10764,2048,0.34359143461976877,10.9949259078326,,,,,,,,
glm5_lb1_gov_report_16384_s00,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,11433,512,0.32441617742987605,10.381317677756034,,,,,,,,
glm5_lb1_gov_report_16384_s01,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,8522,512,0.314634703196347,10.068310502283104,,,,,,,,
glm5_lb1_gov_report_16384_s02,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,12358,512,0.3145433789954338,10.06538812785388,,,,,,,,
glm5_lb1_gov_report_32768_ld02,GLM-5,all_layers,32768,ld,longbench_v1,gov_report,22422,2048,0.32404250122129946,10.369360039081583,,,,,,,,
glm5_lb1_gov_report_32768_ld03,GLM-5,all_layers,32768,ld,longbench_v1,gov_report,18178,2048,0.3052059925093633,9.766591760299626,,,,,,,,
glm5_lb1_gov_report_32768_s01,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,18688,512,0.31436399217221134,10.059647749510763,,,,,,,,
glm5_lb1_gov_report_32768_s02,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,18374,434,0.3114164742109315,9.965327174749808,,,,,,,,
glm5_lb1_gov_report_32768_s03,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,21980,360,0.2945914577530176,9.426926648096563,,,,,,,,
glm5_lb1_gov_report_65536_s00,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,43523,512,0.3182746249184605,10.184787997390735,,,,,,,,
glm5_lb1_gov_report_65536_s01,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,51468,495,0.3240789473684211,10.370526315789474,,,,,,,,
glm5_lb1_gov_report_65536_s02,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,39907,445,0.310563063063063,9.938018018018017,,,,,,,,
glm5_lb1_gov_report_8192_ld04,GLM-5,all_layers,8192,ld,longbench_v1,gov_report,4972,2048,0.24905797101449276,7.969855072463768,,,,,,,,
glm5_lb1_gov_report_8192_s00,GLM-5,all_layers,8192,bf,longbench_v1,gov_report,4663,512,0.3130300065231572,10.01696020874103,,,,,,,,
glm5_lb1_gov_report_8192_s01,GLM-5,all_layers,8192,bf,longbench_v1,gov_report,4182,402,0.3241271820448878,10.372069825436409,,,,,,,,
glm5_lb1_multi_news_8192_ld00,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4490,2048,0.3271926396352386,10.470164468327635,,,,,,,,
glm5_lb1_multi_news_8192_ld01,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4451,2048,0.2557409216739945,8.183709493567823,,,,,,,,
glm5_lb1_multi_news_8192_ld05,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4555,2048,0.2509224881941052,8.029519622211366,,,,,,,,
glm5_lb1_multi_news_8192_s03,GLM-5,all_layers,8192,bf,longbench_v1,multi_news,4586,483,0.3449723374827109,11.039114799446748,,,,,,,,
glm5_lb1_qmsum_16384_ld01,GLM-5,all_layers,16384,ld,longbench_v1,qmsum,10630,2048,0.16731721218042667,5.354150789773653,,,,,,,,
glm5_lb1_qmsum_16384_ld05,GLM-5,all_layers,16384,ld,longbench_v1,qmsum,12732,2048,0.2758882918091516,8.82842533789285,,,,,,,,
glm5_lb1_qmsum_16384_s03,GLM-5,all_layers,16384,bf,longbench_v1,qmsum,12680,117,0.281551724137931,9.009655172413792,,,,,,,,
glm5_lb1_qmsum_32768_ld00,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25406,2048,0.16567008630516203,5.301442761765185,,,,,,,,
glm5_lb1_qmsum_32768_ld01,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,16470,2048,0.2539684090539,8.1269890897248,,,,,,,,
glm5_lb1_qmsum_32768_ld04,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25159,2048,0.25722683602019214,8.231258752646148,,,,,,,,
glm5_lb1_qmsum_32768_ld05,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25408,2048,0.1588682624979645,5.083784399934864,,,,,,,,
glm5_lb1_qmsum_32768_s00,GLM-5,all_layers,32768,bf,longbench_v1,qmsum,16467,67,0.30633838383838385,9.802828282828283,,,,,,,,
glm5_lb1_qmsum_8192_ld02,GLM-5,all_layers,8192,ld,longbench_v1,qmsum,5391,2048,0.17561064973131416,5.619540791402053,,,,,,,,
glm5_lb1_qmsum_8192_ld03,GLM-5,all_layers,8192,ld,longbench_v1,qmsum,5386,2048,0.29213401726103244,9.348288552353038,,,,,,,,
glm5_lb1_qmsum_8192_s02,GLM-5,all_layers,8192,bf,longbench_v1,qmsum,4960,51,0.3119666666666666,9.982933333333332,,,,,,,,
glm5_lb2_code_131072_s01,GLM-5,all_layers,131072,bf,longbench_v2,Code Repository Understanding,117371,9,0.3308333333333333,10.586666666666666,,,,,,,,
