run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,adjacent_overlap,adjacent_jaccard,weighted_overlap,lift_vs_random,recency_baseline_overlap,retention_lag1,retention_lag8,retention_lag64,retention_lag512,retention_lag1024,retention_lag2048,working_set_w64_ratio,adjacent_overlap_std,adjacent_overlap_ci_lo,adjacent_overlap_ci_hi,adjacent_overlap_n,adjacent_jaccard_std,adjacent_jaccard_ci_lo,adjacent_jaccard_ci_hi,adjacent_jaccard_n,weighted_overlap_std,weighted_overlap_ci_lo,weighted_overlap_ci_hi,weighted_overlap_n,lift_vs_random_std,lift_vs_random_ci_lo,lift_vs_random_ci_hi,lift_vs_random_n,recency_baseline_overlap_std,recency_baseline_overlap_ci_lo,recency_baseline_overlap_ci_hi,recency_baseline_overlap_n,retention_lag1_std,retention_lag1_ci_lo,retention_lag1_ci_hi,retention_lag1_n,retention_lag8_std,retention_lag8_ci_lo,retention_lag8_ci_hi,retention_lag8_n,retention_lag64_std,retention_lag64_ci_lo,retention_lag64_ci_hi,retention_lag64_n,retention_lag512_std,retention_lag512_ci_lo,retention_lag512_ci_hi,retention_lag512_n,retention_lag1024_std,retention_lag1024_ci_lo,retention_lag1024_ci_hi,retention_lag1024_n,retention_lag2048_std,retention_lag2048_ci_lo,retention_lag2048_ci_hi,retention_lag2048_n,working_set_w64_ratio_std,working_set_w64_ratio_ci_lo,working_set_w64_ratio_ci_hi,working_set_w64_ratio_n,cpu_v4_adjacent_overlap,cpu_v4_lift
glm52_ruler_niah_single_2_131072_s02_b,GLM-5.2,computing_only,131072,bf,ruler,niah_single_2,130790,24,0.6942823579839544,0.5485905021554022,0.6893390135211771,44.342566523739514,0.1845877511160714,0.6942823579839544,0.5653715587797619,nan,nan,nan,nan,0.041505586533319386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_131072_s03_b,GLM-5.2,computing_only,131072,bf,ruler,niah_single_2,130202,24,0.7196598408385093,0.5755460759185461,0.7153419117327312,45.756770897109064,0.193360343812004,0.7196598408385093,0.587310791015625,nan,nan,nan,nan,0.03929605938139416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_16384_s00_b,GLM-5.2,computing_only,16384,bf,ruler,niah_single_2,15594,22,0.7942730477607711,0.6682691899732236,0.789906763191424,6.052075852071887,0.2828215892180736,0.7942730477607711,0.6956662547831634,nan,nan,nan,nan,0.02956887447472774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_16384_s01_b,GLM-5.2,computing_only,16384,bf,ruler,niah_single_2,16181,23,0.7984888646509741,0.6738710010538649,0.797354415715151,6.313262767089909,0.28022086891821946,0.7984888646509741,0.7016617063492063,nan,nan,nan,nan,0.029724515989947277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_16384_s02_b,GLM-5.2,computing_only,16384,bf,ruler,niah_single_2,16179,22,0.7986421130952381,0.6732621487038585,0.7971063144479492,6.313476145132329,0.2670253737148269,0.7986421130952381,0.6961130155187075,nan,nan,nan,nan,0.029335005458815278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_16384_s03_b,GLM-5.2,computing_only,16384,bf,ruler,niah_single_2,16177,22,0.7965671945861678,0.670019792230261,0.793184852046347,6.296310862175732,0.3290561164096321,0.7965671945861678,0.7023826132015306,nan,nan,nan,nan,0.029203390146230718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_32768_s00_b,GLM-5.2,computing_only,32768,bf,ruler,niah_single_2,32557,22,0.7554685285572562,0.6190904100598948,0.7574624588430451,12.013739693462176,0.18878305938852813,0.7554685285572562,0.646497661564626,nan,nan,nan,nan,0.03307114638291396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_32768_s01_b,GLM-5.2,computing_only,32768,bf,ruler,niah_single_2,32559,24,0.7727934488635432,0.6404908257712606,0.774934180217201,12.290366324304362,0.18039201147762343,0.7727934488635432,0.666881671885334,nan,nan,nan,nan,0.03262892223539807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_32768_s02_b,GLM-5.2,computing_only,32768,bf,ruler,niah_single_2,32557,22,0.771607275722789,0.6392509072685024,0.7739861611399192,12.27036963785046,0.18240475344967533,0.771607275722789,0.6643946641156463,nan,nan,nan,nan,0.03182208899295691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm52_ruler_niah_single_2_32768_s03_b,GLM-5.2,computing_only,32768,bf,ruler,niah_single_2,32555,21,0.7567461446469583,0.6200666811678625,0.7571836488755805,12.033105803304815,0.19559667032413358,0.7567461446469583,0.6495186308216881,nan,nan,nan,nan,0.03209165542844742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
