run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,hotset_A99_pct,hotset_B99_pct,hotset_top10pct_coverage,hotset_top5pct_coverage,hotset_top1pct_coverage,hotset_pool_N,hotset_A99_pct_std,hotset_A99_pct_ci_lo,hotset_A99_pct_ci_hi,hotset_A99_pct_n,hotset_B99_pct_std,hotset_B99_pct_ci_lo,hotset_B99_pct_ci_hi,hotset_B99_pct_n,hotset_top10pct_coverage_std,hotset_top10pct_coverage_ci_lo,hotset_top10pct_coverage_ci_hi,hotset_top10pct_coverage_n,hotset_top5pct_coverage_std,hotset_top5pct_coverage_ci_lo,hotset_top5pct_coverage_ci_hi,hotset_top5pct_coverage_n,hotset_top1pct_coverage_std,hotset_top1pct_coverage_ci_lo,hotset_top1pct_coverage_ci_hi,hotset_top1pct_coverage_n,hotset_pool_N_std,hotset_pool_N_ci_lo,hotset_pool_N_ci_hi,hotset_pool_N_n
glm5_ib_longbook_sum_eng_131072_ld00,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,130002,2048,20.861078958451905,29.83226312066363,0.9292109676457443,0.841916248428158,0.40655433240074873,132049.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld01,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,128965,2048,20.933001243965123,29.836785356127095,0.9275865692931295,0.8364245383664541,0.40576051966967813,131012.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld02,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,127634,2048,21.40856883725924,30.751771753923187,0.9237871507812341,0.831707652362015,0.40106668080619884,129681.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld03,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,75999,2048,28.735617456371877,39.834611015068695,0.878459051983464,0.7396872452525352,0.27976625704973873,78046.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld04,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,129217,2048,22.006775931690612,31.656130061633476,0.921396107293372,0.8227849427654872,0.39690294575938384,131264.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_131072_ld05,GLM-5,all_layers,131072,ld,infinitebench,longbook_sum_eng,69162,2048,30.106591251249927,41.305946273717204,0.8608824045230181,0.706560553648533,0.259113195614937,71209.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld00,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63793,2048,31.913652366264767,43.80497009066267,0.8551227445694692,0.6935429948930578,0.24412272191627182,65840.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld01,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63232,2048,30.53685541468749,41.5564592374899,0.8567592067655939,0.6905493502091361,0.242045623825584,65279.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld02,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,62639,2048,29.95351508708339,41.04355795293556,0.8629118479172876,0.7002860627533379,0.24372770000740596,64686.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld03,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63492,2048,31.30641336671334,42.801721895086146,0.8573667483452039,0.6963072220484415,0.24463097560100067,65539.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld04,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63350,2048,31.437476744600925,43.17309701731005,0.8547569554692058,0.6902673376091758,0.2436452852949532,65397.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_longbook_sum_eng_65536_ld05,GLM-5,all_layers,65536,ld,infinitebench,longbook_sum_eng,63568,2048,33.613991484905156,45.303294079488545,0.8318122421223706,0.6683146956850304,0.23631053108770309,65615.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,number_string,125352,8,3.285865558219358,3.3983425243725662,1.0,0.9993262657752404,0.5528533153044872,125359.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,number_string,13810,7,22.265155226938667,23.148189390227607,0.6477855640453297,0.33698471125228935,0.0673828125,13816.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,number_string,30196,8,11.697895522350047,12.164694116818078,0.953629498141909,0.6705043275934408,0.14746173848630248,30203.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,number_string,62964,8,6.137074086606411,6.360986681292853,1.0,0.9404977651742789,0.30407480093149036,62971.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_number_string_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,number_string,5618,7,48.148730714520184,50.28814239340554,0.2744140625,0.13720703125,0.02734375,5624.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_131072_s00,GLM-5,all_layers,131072,bf,infinitebench,passkey,125345,5,2.8309881886695423,2.895607770796245,1.0,1.0,0.5708771534455128,125349.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_16384_s00,GLM-5,all_layers,16384,bf,infinitebench,passkey,13811,5,20.57323422144269,21.159553439683734,0.6585436698717948,0.3373284755608974,0.0673828125,13815.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_32768_s00,GLM-5,all_layers,32768,bf,infinitebench,passkey,30195,5,10.38113844829299,10.6493592503063,0.97060546875,0.6885278946314103,0.1474609375,30199.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_65536_s00,GLM-5,all_layers,65536,bf,infinitebench,passkey,62963,5,5.212009709603687,5.340648520409347,1.0,0.966824419070513,0.3064590845352564,62967.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_ib_passkey_8192_s00,GLM-5,all_layers,8192,bf,infinitebench,passkey,5617,4,44.579797426772515,45.647413085135504,0.2744140625,0.13720703125,0.02734375,5620.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld00,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10400,2048,69.05422581489104,82.74035757766777,0.43387399575649166,0.25058338275322545,0.0577087891407502,12447.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld02,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10699,2048,67.86905494735402,81.1900767259311,0.4393074909845988,0.25418617175175595,0.05903872159811167,12746.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld03,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,9994,2048,71.49834220260264,84.33376135809489,0.42005694523835796,0.24158329535753298,0.05591303568619948,12041.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_ld04,GLM-5,all_layers,16384,ld,longbench_v1,gov_report,10764,2048,68.14326230062707,80.44529040548088,0.4294621485930223,0.250150108948732,0.058846632639567055,12811.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s00,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,11433,512,63.692960310508866,74.02643962422933,0.44997646869757235,0.2552968783256335,0.05646154208061022,11944.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s01,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,8522,512,72.23726677396556,81.54828307601473,0.3679658082815317,0.20104222419934395,0.04308010981633113,9033.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_16384_s02,GLM-5,all_layers,16384,bf,longbench_v1,gov_report,12358,512,63.46975737759792,73.82170630674787,0.4675036577078012,0.26882171630859375,0.060771966591859475,12869.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_32768_ld02,GLM-5,all_layers,32768,ld,longbench_v1,gov_report,22422,2048,52.97121108760326,66.97385807892978,0.625722328821818,0.40237158078413743,0.10605057997581287,24469.0,,,,,,,,,,,,,,,,,,,,,,,,
