pool_pct,mean,min,max
1,0.079345,0.076322,0.080078
2,0.154391,0.140642,0.160156
3,0.223984,0.195446,0.240017
5,0.346733,0.288011,0.390859
7,0.450372,0.366019,0.523187
10,0.575242,0.466396,0.678619
15,0.720086,0.597673,0.843917
20,0.815343,0.696915,0.939353
25,0.878643,0.772536,0.983490
30,0.919984,0.830345,0.997713
40,0.966407,0.908370,1.000000
50,0.987415,0.953225,1.000000
60,0.996537,0.979684,1.000000
75,0.999901,0.997913,1.000000
100,1.000000,1.000000,1.000000
