pool_pct,mean,min,max
1,0.347178,0.103696,0.502261
2,0.531145,0.177910,0.761428
3,0.643486,0.240326,0.886747
5,0.768452,0.344418,0.969960
7,0.836042,0.428665,0.991144
10,0.894191,0.530545,0.998675
15,0.943387,0.658778,1.000000
20,0.967641,0.752432,1.000000
25,0.980759,0.821783,1.000000
30,0.988315,0.872682,1.000000
40,0.995613,0.937618,1.000000
50,0.998357,0.966985,1.000000
60,0.999417,0.982526,1.000000
75,0.999941,0.995565,1.000000
100,1.000000,1.000000,1.000000
