pool_pct,mean,min,max
1,0.259067,0.168154,0.318204
2,0.437286,0.266585,0.626952
3,0.567179,0.344231,0.885720
5,0.729099,0.461951,0.988294
7,0.819681,0.549307,0.997456
10,0.893794,0.646999,1.000000
15,0.949867,0.756384,1.000000
20,0.973874,0.815826,1.000000
25,0.985468,0.858270,1.000000
30,0.991578,0.890114,1.000000
40,0.997079,0.934126,1.000000
50,0.999018,0.961844,1.000000
60,0.999680,0.979573,1.000000
75,0.999944,0.994081,1.000000
100,1.000000,1.000000,1.000000
