pool_pct,mean,min,max
1,0.238105,0.093121,0.304621
2,0.395208,0.159800,0.554762
3,0.510398,0.218034,0.716722
5,0.662072,0.317961,0.909951
7,0.752996,0.400651,0.970700
10,0.834243,0.501909,0.992435
15,0.906143,0.630953,0.999254
20,0.943991,0.726390,1.000000
25,0.965857,0.798888,1.000000
30,0.978992,0.854025,1.000000
40,0.991820,0.927100,1.000000
50,0.996873,0.965522,1.000000
60,0.998904,0.981703,1.000000
75,0.999808,0.995219,1.000000
100,1.000000,1.000000,1.000000
