pool_pct,mean,min,max
1,0.114440,0.048354,0.158099
2,0.209323,0.084746,0.311000
3,0.291170,0.116807,0.453426
5,0.425974,0.172740,0.721663
7,0.531872,0.222049,0.909752
10,0.651039,0.287832,0.987888
15,0.778072,0.382754,0.998301
20,0.851888,0.463975,0.999886
25,0.897218,0.535209,1.000000
30,0.926855,0.598232,1.000000
40,0.961705,0.705502,1.000000
50,0.979978,0.791654,1.000000
60,0.989984,0.861271,1.000000
75,0.997127,0.939229,1.000000
100,1.000000,1.000000,1.000000
