pool_pct,mean,min,max
1,0.363395,0.097699,0.543763
2,0.562482,0.163206,0.816373
3,0.680429,0.216722,0.931706
5,0.802268,0.303485,0.990149
7,0.861838,0.373714,0.998872
10,0.909872,0.459952,1.000000
15,0.949585,0.571666,1.000000
20,0.969671,0.656391,1.000000
25,0.981085,0.722736,1.000000
30,0.987964,0.776341,1.000000
40,0.995039,0.856878,1.000000
50,0.998015,0.913069,1.000000
60,0.999306,0.952763,1.000000
75,0.999921,0.988644,1.000000
100,1.000000,1.000000,1.000000
