lag,retention_ld64k,working_set_ratio_ld64k,retention_ld128k,working_set_ratio_ld128k
1,0.752769,1.000000,0.751059,1.000000
2,0.719637,0.623527,0.708908,0.624392
4,0.678611,0.390353,0.662819,0.394430
8,0.645318,0.248079,0.629619,0.254023
16,0.608397,0.160216,0.591859,0.166191
32,0.584727,0.104098,0.563973,0.110015
64,0.546270,0.068007,0.529543,0.073720
128,0.504190,0.044336,0.478414,0.049615
256,0.451843,0.028626,0.429928,0.033215
512,0.376662,0.018163,0.358332,0.021825
1024,0.303152,0.011066,0.290810,0.013777
2048,,,,
