benchmark,context,model,impl,mode,n_items,metric,value,delta_vs_clean,delta_ci_lo,delta_ci_hi,token_abs_dlogprob_mean,token_abs_dlogprob_p90,n_tokens,events,equivalent_to_noise_floor,floor_delta_ci,identical_token_streams,first_divergence_median
longbook_ppl,32768,GLM-5.2,B,ctrl_identity,10,ppl,1.87702,-0.005788,-0.017572,0.006013,0.141775,0.43718,20480,160,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,-,ctrl_numeric,10,ppl,1.86972,-0.013082,-0.030808,0.003653,0.140413,0.42871,20480,160,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,A,perm_once_A,10,ppl,1.87549,-0.007317,-0.01947,0.004316,0.138637,0.41365,20480,170,True,"[-0.019767, 0.006022]",,
longbook_ppl,32768,GLM-5.2,B,perm_once_B,10,ppl,1.87551,-0.007291,-0.02092,0.007429,0.143555,0.43103,20480,180,True,"[-0.019767, 0.006022]",,
longbook_ppl,65536,GLM-5.2,-,clean,10,ppl,2.21461,0.0,0.0,0.0,0.0,0.0,20480,180,,,,
longbook_ppl,65536,GLM-5.2,-,clean2,10,ppl,2.22757,0.012959,-0.007628,0.036145,0.172041,0.53977,20480,180,,,,
longbook_ppl,65536,GLM-5.2,A,perm_once_A,10,ppl,2.22525,0.010647,-0.008437,0.030486,0.172753,0.5552,20480,190,True,"[-0.007628, 0.036145]",,
longbook_ppl,65536,GLM-5.2,B,perm_once_B,10,ppl,2.22526,0.010653,-0.007465,0.028261,0.173241,0.56447,20480,200,True,"[-0.007628, 0.036145]",,
longbook_ppl,131072,GLM-5.2,-,clean,10,ppl,2.59605,0.0,0.0,0.0,0.0,0.0,20480,200,,,,
longbook_ppl,131072,GLM-5.2,-,clean2,10,ppl,2.59084,-0.005207,-0.032459,0.023424,0.201986,0.66404,20480,200,,,,
longbook_ppl,131072,GLM-5.2,B,perm_once_B,10,ppl,2.59551,-0.000536,-0.021696,0.014251,0.199561,0.63642,20480,210,True,"[-0.032459, 0.023424]",,
ruler_niah2+qa1,32768,GLM-5.2,-,clean,10,accuracy,0.9,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5.2,-,clean,10,accuracy,0.9,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,32768,GLM-5.2,B,perm_once_B,10,accuracy,0.9,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5.2,B,perm_once_B,10,accuracy,0.9,0.0,,,,,,,,,8,9999.0
ruler_niah2+qa1,32768,GLM-5.2,B,perm_periodic_B,10,accuracy,0.9,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5.2,B,perm_periodic_B,10,accuracy,0.9,0.0,,,,,,,,,8,9999.0
wikitext2,2048,GLM-5,-,clean,50,ppl,2.863,0.0,0.0,0.0,0.0,0.0,51200,0,,,,
wikitext2,2048,GLM-5,-,clean2,50,ppl,2.85877,-0.004238,-0.010882,0.001953,0.110236,0.34183,51200,0,,,,
wikitext2,2048,GLM-5,B,ctrl_identity,50,ppl,2.8636,0.000593,-0.006532,0.007579,0.111558,0.34372,51200,50,True,"[-0.010882, 0.001953]",,
wikitext2,2048,GLM-5,-,ctrl_numeric,50,ppl,2.86212,-0.000878,-0.006974,0.004951,0.110974,0.34185,51200,50,True,"[-0.010882, 0.001953]",,
wikitext2,2048,GLM-5,A,perm_once_A,50,ppl,2.86415,0.001152,-0.006144,0.007949,0.109161,0.34061,51200,100,True,"[-0.010882, 0.001953]",,
